Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,C3,C4,C5,C6,C7,C8,Federer Score,Verdict,Personalization Hook,Sources
Azad Engineering,https://www.azad.in,Hyderabad,Precision Engineering & Aerospace,High-precision aerospace defence energy and turbine components,Rs.300-500Cr,Rakesh Chopdar,Strong,Strong,Strong,Strong,Strong,Moderate,90,A - Strong Federer,Export-led precision manufacturer serving global aerospace and energy customers,Company website; Annual report; BSE filings
Jeh Aerospace,https://www.jeh.aero,Hyderabad,Aerospace Manufacturing,Aerostructures and aero-engine components for commercial aerospace,Unknown,Vishal R Sanghavi,Strong,Strong,Strong,Strong,Strong,Moderate,88,A - Strong Federer,Expanding Hyderabad aerospace manufacturing footprint with advanced software-defined facility,Company website; news articles
Kernex Microsystems,https://www.kernex.in,Hyderabad,Embedded Systems & Railway Safety,Railway safety systems embedded electronics and anti-collision systems,Rs.100-300Cr,Management Team,Strong,Moderate,Strong,Strong,Strong,Moderate,82,A - Strong Federer,Long-standing Hyderabad embedded systems company focused on railway safety,Company website; Annual report
Digilogic Systems,https://digilogicsystems.com,Hyderabad,Defence Test Automation,Automated test equipment simulation systems and RF test solutions for defence and aerospace,Unknown,Founder Team,Strong,Moderate,Strong,Moderate,Strong,Moderate,78,B - Probable Federer,AS9100D certified test automation company serving defence and aerospace markets,Company website; LinkedIn
Constelli,https://www.constelli.com,Hyderabad,Defence Electronics & Signal Processing,Telemetry receivers signal processing systems and electronic warfare solutions,Unknown,Satya Gopal and Avinash Chenreddy,Strong,Strong,Strong,Strong,Moderate,Moderate,84,A - Strong Federer,Hyderabad defence-tech company building signal processing systems for aerospace and EW applications,Company website; funding news
Indrajaal,https://indrajaal.in,Hyderabad,Counter-Drone Defence Systems,AI-powered autonomous counter-drone defence systems,Unknown,Kiran Raju / Kiran Penumacha,Strong,Strong,Strong,Strong,Strong,Moderate,90,A - Strong Federer,Autonomous counter-drone platform with defence and critical infrastructure applications,Company website; news articles
BluJ Aerospace,https://blujaero.com,Hyderabad,Deep-Tech Aerospace,Hydrogen-powered VTOL and cargo eVTOL aircraft systems,Unknown,Maruthi Amardeep Sri Vatsavaya,Strong,Strong,Strong,Strong,Moderate,Moderate,84,A - Strong Federer,Hyderabad deep-tech aviation startup building hydrogen/electric VTOL aircraft,Company website; news articles
amPICQ,https://ampicq.com,Hyderabad,Photonics & Semiconductor Technology,Photonic integrated circuits and programmable photonics systems,<Rs.50Cr,Rahul Pulipati,Strong,Strong,Strong,Moderate,Moderate,Moderate,82,A - Strong Federer,Deep-tech photonics company working on integrated photonics and semiconductor-relevant systems,Company website; F6S; Tracxn
PatternLab,https://patternlab.ai,Hyderabad,Industrial IoT & Factory Analytics,Factory sensors and AI analytics for machine usage productivity and OEE visibility,<Rs.50Cr,Anoop Vootkuri / Karthik Kalluri / Jaisurya Reddy,Strong,Moderate,Strong,Moderate,Strong,Moderate,78,B - Probable Federer,PatternClip sensors give factories real-time visibility into machine usage and idle losses,Company website; F6S
Perceptyne,https://perceptyne.com,Hyderabad,Robotics & Manufacturing Automation,Industrial robots and automation systems for manufacturing and warehouse operations,Unknown,Jagga Raju / Raviteja Chivukula,Strong,Strong,Strong,Strong,Moderate,Moderate,84,A - Strong Federer,Hyderabad robotics startup building intelligent robots for factory automation,Company website; media articles; F6S
Rotatum Mechatronics,https://rotatummechatronics.com,Hyderabad,Precision Mechatronics,Rotary and linear actuator systems for robotics aerospace defence and automation,<Rs.50Cr,Deepak Reddy,Strong,Moderate,Strong,Moderate,Moderate,Moderate,74,B - Probable Federer,Building indigenous precision actuator systems for robotics and industrial automation,Company website; LinkedIn; F6S
KLVIN Technology Labs,https://klvinlabs.com,Hyderabad,Industrial IoT & Predictive Maintenance,Industrial IoT edge devices for motor monitoring and predictive maintenance,<Rs.50Cr,Vinay Kolusu / Koushik Yadav / Likhith Gadde,Moderate,Moderate,Strong,Moderate,Moderate,Weak,62,B - Probable Federer,Industrial IoT edge device targets predictive maintenance for SME manufacturing motors,F6S; company website
Affluence,Unknown,Hyderabad,Automotive Electronics,Automotive electronics and wireless product manufacturing,Unknown,Management Team,Moderate,Moderate,Strong,Moderate,Moderate,Weak,62,B - Probable Federer,Automotive electronics manufacturing company with Make-in-India relevance,F6S
Axirium Aerospace,Unknown,Hyderabad,Aerospace Manufacturing,Aerospace manufacturing and reliability-focused engineering services,Unknown,Founder Team,Moderate,Moderate,Strong,Moderate,Weak,Weak,55,C - Borderline,Early aerospace company; needs deeper verification of facility revenue and certifications,F6S
Sanyark Space,Unknown,Hyderabad,Space Technology,Space infrastructure for autonomous systems,Unknown,Raghava Kundrapu,Moderate,Moderate,Strong,Moderate,Weak,Weak,55,C - Borderline,Early space infrastructure company; promising sector but needs verification,F6S
Inventive Core Integrations,Unknown,Hyderabad,Electronics Product Development,Electronics products and tracking systems with claimed IPR filing,<Rs.50Cr,Sk Moinuddin,Moderate,Moderate,Moderate,Weak,Weak,Weak,42,C - Borderline,Core electronics company but needs proof of manufacturing scale and systems maturity,F6S
SAI Parenterals,Unknown,Hyderabad,Pharma Manufacturing,Parenteral healthcare products and sterile pharmaceutical manufacturing,Unknown,Management Team,Moderate,Moderate,Strong,Moderate,Moderate,Weak,62,B - Probable Federer,Healthcare manufacturing company; verify whether it is specialty and within revenue band,F6S
Gravton Motors,Unknown,Hyderabad,Electric Vehicle Manufacturing,Electric bikes and EV systems,Unknown,Founder Team,Moderate,Moderate,Strong,Moderate,Moderate,Weak,62,B - Probable Federer,Hyderabad EV manufacturer; verify scale revenue and manufacturing depth,F6S
GlowMe Smart,Unknown,Hyderabad,UV Hygiene Equipment,UV sterilization machines for commercial spaces,<Rs.50Cr,Management Team,Moderate,Weak,Moderate,Moderate,Weak,Weak,39,D - Not ICP,Product exists but weak evidence of systems maturity and technical moat,F6S
Aziot Smart Solutions,Unknown,Hyderabad,Smart Home IoT,Smart home products and IoT devices,Unknown,Jaleel Ahmed,Moderate,Moderate,Moderate,Weak,Weak,Weak,42,C - Borderline,Consumer IoT product company; needs proof of in-house manufacturing and differentiation,F6S
Hycarane Energy,Unknown,Hyderabad,Clean Energy Technology,Catalytic thermochemical decomposition technology for hydrogen and carbon,<Rs.50Cr,Sri Charan,Strong,Moderate,Strong,Moderate,Weak,Weak,62,B - Probable Federer,Deep-tech hydrogen startup with proprietary process claims; needs facility verification,F6S
3DFying,Unknown,Hyderabad,Pharma 3D Printing,AI-enabled semi-solid extrusion 3D printing platform for personalized medicines,<Rs.50Cr,Prakash Katakam / Ramjee Pallela,Strong,Strong,Strong,Moderate,Weak,Weak,70,B - Probable Federer,Personalized medicine manufacturing platform using pharmaceutical 3D printing,F6S
Cosmic3D,Unknown,Hyderabad,3D Printing Hardware,Affordable 3D printers and hardware systems,<Rs.50Cr,Adarsh Gorla,Moderate,Moderate,Moderate,Weak,Weak,Weak,42,C - Borderline,Hardware product company but needs proof of scale differentiation and systems maturity,F6S
Biome Sustainability Ventures,Unknown,Hyderabad,Sustainable Materials,Agri-waste based sustainable material products,<Rs.50Cr,Sumeet Popli,Moderate,Moderate,Strong,Weak,Weak,Weak,47,C - Borderline,Interesting sustainable materials idea but early stage and needs manufacturing proof,F6S
Firewires OneIoT,Unknown,Hyderabad,Industrial IoT,IoT platform for smart factories cities agriculture and asset monitoring,<Rs.50Cr,Bhavana Sure,Moderate,Moderate,Strong,Weak,Weak,Weak,47,C - Borderline,IoT platform company; likely more software/service unless hardware manufacturing is verified,F6S
